action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
speed,2,44,43,51,47,True,False,8.339699999851291,pairs_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,speed,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.65,0.1,0,0,2,59,speed,2,51,47,44,43
speed,27,43,44,47,47,False,True,7.747699999981705,rollback,2,0,2,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,27,47,47,43,44
speed,54,43,44,47,48,False,True,8.00359999993816,rollback,2,2,1,stage2_independent_matching,1,0,27-54,2,crossing,speed,1,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,54,47,48,43,44
speed,27,43,43,47,47,False,True,7.907499999873835,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,2,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,27,47,47,43,43
speed,54,43,43,47,47,False,True,12.06110000020999,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,3,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,54,47,47,43,43
speed,27,43,43,47,47,False,True,19.91600000019389,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,4,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,27,47,47,43,43
speed,54,43,43,47,47,False,True,8.032100000036735,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,5,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,54,47,47,43,43
speed,27,43,43,47,47,False,True,7.7780000001439475,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,6,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,27,47,47,43,43
speed,54,43,43,47,47,False,True,8.005799999864394,rollback,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,7,0.25,0.6,0.15,ADM_ref6_independent_matching,,,,1,0,27,54,speed,54,47,47,43,43
speed,27,43,42,47,45,True,False,8.269299999938085,pairs_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,8,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.8,0.075,1,0,27,54,speed,27,47,45,43,42
speed,37,42,42,45,46,False,True,7.808700000168756,rollback,2,2,0,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,,,,2,0,37,76,speed,37,45,46,42,42
speed,76,42,41,45,43,True,False,7.8778000001875625,pairs_decreased,2,0,0,stage2_independent_matching,2,0,37-76,2,crossing,speed,1,0.125,0.8,0.075,ADM_ref6_independent_matching,0.0625,0.9,0.0375,2,0,37,76,speed,76,45,43,42,41
speed,42,41,40,43,41,True,False,7.939700000406447,pairs_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,speed,0,0.25,0.65,0.1,ADM_ref6_independent_matching,0.125,0.825,0.05,3,0,42,78,speed,42,43,41,41,40
cruise_level,55,40,39,41,39,True,False,7.985299999745621,pairs_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,41,39,40,39
delay,3,39,39,39,39,False,True,8.200899999792455,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,0,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,3,39,39,39,39
delay,65,39,41,39,41,False,True,7.689299999583454,rollback,1,1,2,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,1,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,65,39,41,39,41
delay,3,39,39,39,39,False,True,7.927699999981996,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,2,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,3,39,39,39,39
delay,65,39,42,39,42,False,True,7.589399999687885,rollback,1,1,3,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,3,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,65,39,42,39,42
delay,3,39,40,39,40,False,True,7.959000000028027,rollback,1,0,2,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,4,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,3,39,40,39,40
delay,65,39,44,39,44,False,True,7.4992999998357845,rollback,1,0,6,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,5,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,65,39,44,39,44
delay,3,39,40,39,42,False,True,8.007500000076107,rollback,1,0,2,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,6,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,3,39,42,39,40
delay,65,39,42,39,42,False,True,12.437800000043353,rollback,1,0,4,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,7,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,65,39,42,39,42
delay,3,39,39,39,42,False,True,20.34589999993841,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,8,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,delay,3,39,42,39,39
delay,65,39,38,39,38,True,False,7.642900000064401,pairs_decreased,1,0,0,stage2_independent_matching,5,0,3-65,1,head_to_head,delay,9,0.075,0.075,0.85,ADM_ref6_independent_matching,0.5375,0.0375,0.425,5,0,3,65,delay,65,39,38,39,38
speed,6,38,39,38,39,False,True,7.733400000233814,rollback,1,1,1,stage2_independent_matching,6,0,6-11,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,,,,6,0,6,11,speed,6,38,39,38,39
speed,11,38,37,38,37,True,False,7.757800000035786,pairs_decreased,1,0,0,stage2_independent_matching,6,0,6-11,1,crossing,speed,1,0.0625,0.9,0.0375,ADM_ref6_independent_matching,0.03125,0.95,0.01875,6,0,6,11,speed,11,38,37,38,37
speed,9,37,37,37,37,False,True,8.020599999781552,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,9,12,speed,9,37,37,37,37
speed,12,37,37,37,37,False,True,7.697300000018004,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,1,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,9,12,speed,12,37,37,37,37
speed,9,37,37,37,37,False,True,7.785300000250572,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,2,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,9,12,speed,9,37,37,37,37
speed,12,37,37,37,37,False,True,7.884699999976874,rollback,1,1,0,stage2_independent_matching,7,0,9-12,1,crossing,speed,3,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,9,12,speed,12,37,37,37,37
