flight_id,conflict_point_involvement,unique_conflict_partners,multi_degree,CI_multi_l2,multi_rank
73,24,2,24,230.0,1
47,6,4,6,155.0,2
49,28,5,28,135.0,3
56,3,3,3,60.0,4
33,3,3,3,54.0,5
78,3,2,3,54.0,6
42,3,2,3,52.0,7
25,5,3,5,44.0,8
1,2,2,2,33.0,9
63,5,4,5,32.0,10
98,4,4,4,27.0,11
99,2,1,2,27.0,12
58,5,2,5,24.0,13
45,4,4,4,21.0,14
59,6,3,6,20.0,15
2,4,1,4,12.0,16
72,3,3,3,12.0,17
64,3,3,3,10.0,18
77,3,2,3,10.0,19
37,4,3,4,9.0,20
46,2,2,2,9.0,21
83,4,4,4,9.0,22
13,2,2,2,7.0,23
50,2,2,2,7.0,24
4,2,2,2,6.0,25
29,2,2,2,6.0,26
30,2,1,2,6.0,27
61,2,2,2,6.0,28
16,2,2,2,5.0,29
35,3,3,3,4.0,30
93,2,2,2,4.0,31
95,3,3,3,4.0,32
0,2,1,2,3.0,33
6,2,2,2,3.0,34
14,2,2,2,3.0,35
15,2,2,2,3.0,36
40,2,2,2,3.0,37
55,2,1,2,3.0,38
67,2,2,2,3.0,39
22,2,2,2,2.0,40
39,2,2,2,2.0,41
32,2,2,2,1.0,42
52,2,2,2,1.0,43
76,2,1,2,1.0,44
3,1,1,1,0.0,45
5,0,0,0,0.0,46
7,0,0,0,0.0,47
8,1,1,1,0.0,48
9,1,1,1,0.0,49
10,0,0,0,0.0,50
11,1,1,1,0.0,51
12,1,1,1,0.0,52
17,1,1,1,0.0,53
18,0,0,0,0.0,54
19,1,1,1,0.0,55
20,1,1,1,0.0,56
21,0,0,0,0.0,57
23,1,1,1,0.0,58
24,1,1,1,0.0,59
26,0,0,0,0.0,60
27,2,1,2,0.0,61
28,1,1,1,0.0,62
31,0,0,0,0.0,63
34,1,1,1,0.0,64
36,0,0,0,0.0,65
38,1,1,1,0.0,66
41,1,1,1,0.0,67
43,0,0,0,0.0,68
44,0,0,0,0.0,69
48,1,1,1,0.0,70
51,1,1,1,0.0,71
53,0,0,0,0.0,72
54,2,1,2,0.0,73
57,1,1,1,0.0,74
60,3,3,3,0.0,75
62,1,1,1,0.0,76
65,1,1,1,0.0,77
66,1,1,1,0.0,78
68,1,1,1,0.0,79
69,1,1,1,0.0,80
70,0,0,0,0.0,81
71,1,1,1,0.0,82
74,1,1,1,0.0,83
75,1,1,1,0.0,84
79,0,0,0,0.0,85
80,1,1,1,0.0,86
81,0,0,0,0.0,87
82,0,0,0,0.0,88
84,1,1,1,0.0,89
85,0,0,0,0.0,90
86,0,0,0,0.0,91
87,1,1,1,0.0,92
88,1,1,1,0.0,93
89,1,1,1,0.0,94
90,1,1,1,0.0,95
91,0,0,0,0.0,96
92,1,1,1,0.0,97
94,1,1,1,0.0,98
96,1,1,1,0.0,99
97,1,1,1,0.0,100
